,Name.3,Media_count.3,date.3,Name,Media_count,date,Name.1,Media_count.1,date.1,Name.2,Media_count.2,date.2,Newpost_05_18,Newpost_05_11
0,nike,118571191,2024.05.25,nike,118549274,2024.05.18,nike,118525549,2024.05.11,nike,118513299,2024.05.04,23725,12250
1,adidas,66717053,2024.05.25,adidas,66716636,2024.05.18,adidas,66706627,2024.05.11,adidas,66699623,2024.05.04,10009,7004
2,coach,46708604,2024.05.25,coach,46660529,2024.05.18,coach,46612112,2024.05.11,coach,46568126,2024.05.04,48417,43986
3,zara,42848672,2024.05.25,zara,42820653,2024.05.18,zara,42795096,2024.05.11,zara,42774550,2024.05.04,25557,20546
4,chanel,38643613,2024.05.25,chanel,38656772,2024.05.18,chanel,38651447,2024.05.11,chanel,38626179,2024.05.04,5325,25268
5,gucci,38167029,2024.05.25,gucci,38185941,2024.05.18,gucci,38189340,2024.05.11,gucci,38178683,2024.05.04,-3399,10657
6,dior,28246279,2024.05.25,dior,28245027,2024.05.18,dior,28235295,2024.05.11,dior,28201491,2024.05.04,9732,33804
7,rolex,20542822,2024.05.25,rolex,20536392,2024.05.18,rolex,20526307,2024.05.11,rolex,20492181,2024.05.04,10085,34126
8,prada,19557706,2024.05.25,prada,19561588,2024.05.18,prada,19560486,2024.05.11,prada,19535582,2024.05.04,1102,24904
9,louisvuitton,18306759,2024.05.25,louisvuitton,18311977,2024.05.18,louisvuitton,18319062,2024.05.11,louisvuitton,18317725,2024.05.04,-7085,1337
10,hermes,18061793,2024.05.25,hermes,18066412,2024.05.18,hermes,18064508,2024.05.11,hermes,18040179,2024.05.04,1904,24329
11,puma,15795014,2024.05.25,puma,15791092,2024.05.18,puma,15787620,2024.05.11,puma,15790080,2024.05.04,3472,-2460
12,burberry,13168822,2024.05.25,burberry,13171548,2024.05.18,burberry,13174355,2024.05.11,burberry,13146898,2024.05.04,-2807,27457
13,hm,12847871,2024.05.25,hm,12845698,2024.05.18,hm,12842485,2024.05.11,hm,12840203,2024.05.04,3213,2282
14,tiffany,12449016,2024.05.25,tiffany,12444604,2024.05.18,tiffany,12441080,2024.05.11,tiffany,12417305,2024.05.04,3524,23775
15,givenchy,12057802,2024.05.25,givenchy,12064391,2024.05.18,givenchy,12066009,2024.05.11,givenchy,12041428,2024.05.04,-1618,24581
