Name,Media_count,date
jordan,36799512,2024.05.20
supreme,22829493,2024.05.20
offwhite,10034788,2024.05.20
bape,6566888,2024.05.20
stussy,3425473,2024.05.20
kenzo,3303968,2024.05.20
drmartens,3175092,2024.05.20
carhartt,2793912,2024.05.20
obey,2377845,2024.05.20
stoneisland,2102014,2024.05.20
fearofgod,1930360,2024.05.20
undercover,1557121,2024.05.20
undercover,1557121,2024.05.20
huf,1212468,2024.05.20
wtaps,1019963,2024.05.20
acnestudios,962650,2024.05.20
kith,925051,2024.05.20
golfwang,875493,2024.05.20
hoka,845462,2024.05.20
carharttwip,644493,2024.05.20
humanmade,616100,2024.05.20
palmangels,597808,2024.05.20
amiri,450990,2024.05.20
thehundreds,445934,2024.05.20
ambush,403049,2024.05.20
heronpreston,214122,2024.05.20
aimeleondore,185362,2024.05.20
aimeleondore,185362,2024.05.20
cavempt,175928,2024.05.20
acoldwall,126483,2024.05.20
percival,54775,2024.05.20
axelarigato,54585,2024.05.20
032c,51102,2024.05.20
thefrankieshop,38562,2024.05.20
comedesgarcons,15820,2024.05.20
kidsuper,14553,2024.05.20
poptradingcompany,13279,2024.05.20
goodworth,10526,2024.05.20
