Name.1,Media_count.1,date.1,Name,Media_count,date
jordan,36833597,2024.05.25,jordan,36799512,2024.05.20
supreme,22827480,2024.05.25,supreme,22829493,2024.05.20
offwhite,10032960,2024.05.25,offwhite,10034788,2024.05.20
bape,6567730,2024.05.25,bape,6566888,2024.05.20
stussy,3427452,2024.05.25,stussy,3425473,2024.05.20
kenzo,3302226,2024.05.25,kenzo,3303968,2024.05.20
drmartens,3176742,2024.05.25,drmartens,3175092,2024.05.20
carhartt,2797154,2024.05.25,carhartt,2793912,2024.05.20
obey,2378074,2024.05.25,obey,2377845,2024.05.20
stoneisland,2104276,2024.05.25,stoneisland,2102014,2024.05.20
fearofgod,1930423,2024.05.25,fearofgod,1930360,2024.05.20
undercover,1557816,2024.05.25,undercover,1557121,2024.05.20
undercover,1557812,2024.05.25,undercover,1557121,2024.05.20
huf,1212656,2024.05.25,huf,1212468,2024.05.20
wtaps,1020347,2024.05.25,wtaps,1019963,2024.05.20
acnestudios,963104,2024.05.25,acnestudios,962650,2024.05.20
kith,925799,2024.05.25,kith,925051,2024.05.20
golfwang,875426,2024.05.25,golfwang,875493,2024.05.20
hoka,848539,2024.05.25,hoka,845462,2024.05.20
carharttwip,645773,2024.05.25,carharttwip,644493,2024.05.20
humanmade,617309,2024.05.25,humanmade,616100,2024.05.20
palmangels,597664,2024.05.25,palmangels,597808,2024.05.20
amiri,451985,2024.05.25,amiri,450990,2024.05.20
thehundreds,445955,2024.05.25,thehundreds,445934,2024.05.20
ambush,403170,2024.05.25,ambush,403049,2024.05.20
heronpreston,214092,2024.05.25,heronpreston,214122,2024.05.20
aimeleondore,185724,2024.05.25,aimeleondore,185362,2024.05.20
aimeleondore,185724,2024.05.25,aimeleondore,185362,2024.05.20
cavempt,176071,2024.05.25,cavempt,175928,2024.05.20
acoldwall,126337,2024.05.25,acoldwall,126483,2024.05.20
percival,54821,2024.05.25,percival,54775,2024.05.20
axelarigato,54629,2024.05.25,axelarigato,54585,2024.05.20
032c,51143,2024.05.25,032c,51102,2024.05.20
thefrankieshop,38664,2024.05.25,thefrankieshop,38562,2024.05.20
comedesgarcons,15828,2024.05.25,comedesgarcons,15820,2024.05.20
kidsuper,14590,2024.05.25,kidsuper,14553,2024.05.20
poptradingcompany,13300,2024.05.25,poptradingcompany,13279,2024.05.20
goodworth,10528,2024.05.25,goodworth,10526,2024.05.20
