Name,Media_count,date
stellamccartney,1011200,2024.05.20
motherofpearl,729037,2024.05.20
marksandspencer,663357,2024.05.20
sezane,655657,2024.05.20
veja,454275,2024.05.20
everlane,103392,2024.05.20
lucyandyak,74969,2024.05.20
eileenfisher,47788,2024.05.20
koan,47329,2024.05.20
armedangels,42179,2024.05.20
alternativeapparel,29219,2024.05.20
girlfriendcollective,21581,2024.05.20
outerknown,17491,2024.05.20
asket,12501,2024.05.20
christydawn,9047,2024.05.20
amourvert,5781,2024.05.20
barekind,1324,2024.05.20
