,,,,,,
Name,Media_count,date,Name,Media_count,date,
0,nike,118525549,2024.05.11,nike,118513299,2024.05.04
1,adidas,66706627,2024.05.11,adidas,66699623,2024.05.04
2,coach,46612112,2024.05.11,coach,46568126,2024.05.04
3,zara,42795096,2024.05.11,zara,42774550,2024.05.04
4,chanel,38651447,2024.05.11,chanel,38626179,2024.05.04
5,gucci,38189340,2024.05.11,gucci,38178683,2024.05.04
6,dior,28235295,2024.05.11,dior,28201491,2024.05.04
7,rolex,20526307,2024.05.11,rolex,20492181,2024.05.04
8,prada,19560486,2024.05.11,prada,19535582,2024.05.04
9,louisvuitton,18319062,2024.05.11,louisvuitton,18317725,2024.05.04
10,hermes,18064508,2024.05.11,hermes,18040179,2024.05.04
11,puma,15787620,2024.05.11,puma,15790080,2024.05.04
12,burberry,13174355,2024.05.11,burberry,13146898,2024.05.04
13,hm,12842485,2024.05.11,hm,12840203,2024.05.04
14,tiffany,12441080,2024.05.11,tiffany,12417305,2024.05.04
15,givenchy,12066009,2024.05.11,givenchy,12041428,2024.05.04
16,cartier,12044094,2024.05.11,cartier,12023129,2024.05.04
17,newbalance,11251392,2024.05.11,newbalance,11240855,2024.05.04
18,rayban,10113167,2024.05.11,rayban,10111314,2024.05.04
19,patagonia,9948517,2024.05.11,patagonia,9933042,2024.05.04
20,pandora,9595781,2024.05.11,pandora,9586798,2024.05.04
21,michaelkors,8677114,2024.05.11,michaelkors,8676718,2024.05.04
22,uniqlo,8641108,2024.05.11,uniqlo,8631759,2024.05.04
23,tommyhilfiger,7677540,2024.05.11,tommyhilfiger,7670075,2024.05.04
24,levis,7472636,2024.05.11,levis,7465304,2024.05.04
25,calvinklein,7435340,2024.05.11,calvinklein,7432408,2024.05.04
26,victoriassecret,6822725,2024.05.11,victoriassecret,6820106,2024.05.04
27,celine,6409645,2024.05.11,celine,6403639,2024.05.04
28,ralphlauren,6213145,2024.05.11,ralphlauren,6208277,2024.05.04
29,underarmour,6112900,2024.05.11,underarmour,6112667,2024.05.04
30,fila,5491305,2024.05.11,fila,5494642,2024.05.04
31,armani,5186194,2024.05.11,armani,5188699,2024.05.04
32,omega,4817477,2024.05.11,omega,4811276,2024.05.04
33,thenorthface,4524922,2024.05.11,thenorthface,4518489,2024.05.04
34,lululemon,3728562,2024.05.11,lululemon,3728197,2024.05.04
35,primark,3033033,2024.05.11,primark,3031804,2024.05.04
36,saintlaurent,3023295,2024.05.11,saintlaurent,3021775,2024.05.04
37,loewe,2347724,2024.05.11,loewe,2336651,2024.05.04
38,oldnavy,2245661,2024.05.11,oldnavy,2244933,2024.05.04
39,skechers,1945937,2024.05.11,skechers,1943906,2024.05.04
40,moncler,1708159,2024.05.11,moncler,1709994,2024.05.04
41,bulgari,928807,2024.05.11,bulgari,927140,2024.05.04
42,vancleefarpels,892300,2024.05.11,vancleefarpels,890732,2024.05.04
43,yonex,803233,2024.05.11,yonex,800427,2024.05.04
44,bottega,674765,2024.05.11,bottega,674770,2024.05.04
45,lining,645373,2024.05.11,lining,643991,2024.05.04
46,chowtaifook,58431,2024.05.11,chowtaifook,58122,2024.05.04
